Model,Best Params,CV RMSE Mean,CV RMSE Std,Test RMSE
Bagging,"{'model__max_samples': 0.7, 'model__n_estimators': 20}",191592.5780230017,1587.3050528194099,192923.54809813751
RandomForest,"{'model__max_depth': 20, 'model__min_samples_split': 5, 'model__n_estimators': 200}",177323.51113097736,1703.2855073036537,178373.06472128205
GradientBoosting,"{'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 200}",175391.8188332655,1889.5861480890048,177324.37144573376
